IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_217,Maximum speed limits,text,AFR,Africa,Country,MWI,Malawi,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,MLI,Mali,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,MLT,Malta,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,MNE,Montenegro,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,NER,Niger,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,NGA,Nigeria,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,MKD,North Macedonia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be increased up to 70 km/h,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,NOR,Norway,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,PSE,"occupied Palestinian territory, including east Jerusalem",Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,PRY,Paraguay,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,POL,Poland,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,60 km/h from 23:00 - 05:00,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,PRT,Portugal,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,ROU,Romania,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,SRB,Serbia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be increased to 80 km/h,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,SVK,Slovakia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,SVN,Slovenia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be increased up to 70 km/h,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,SSD,South Sudan,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,ESP,Spain,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
